2018-05-18 16:09:21,249 [main] INFO  com.asiainfo.ServiceApplication 57 - Started ServiceApplication in 51.008 seconds (JVM running for 54.083)
2018-05-18 16:10:07,520 [Apollo-Config-1] INFO  com.asiainfo.config.busi.ApolloMDA 38 - updating batch, old value: LBJ11, new value: LBJ
2018-05-18 16:10:07,523 [Apollo-Config-1] INFO  com.asiainfo.config.busi.ApolloMDA 38 - updating batch, old value: LBJ11, new value: LBJ
2018-05-18 16:11:43,179 [main] INFO  com.asiainfo.ServiceApplication 597 - The following profiles are active: test
2018-05-18 16:12:14,820 [main] INFO  com.asiainfo.ServiceApplication 597 - The following profiles are active: test
2018-05-18 16:12:15,245 [main] INFO  com.asiainfo.ServiceApplication 57 - Started ServiceApplication in 2.518 seconds (JVM running for 45.12)
2018-05-18 16:12:26,950 [main] INFO  com.asiainfo.ServiceApplication 57 - Started ServiceApplication in 54.141 seconds (JVM running for 56.825)
2018-05-18 16:20:06,726 [main] INFO  com.asiainfo.ServiceApplication 597 - The following profiles are active: test
2018-05-18 16:20:33,680 [main] INFO  com.asiainfo.ServiceApplication 597 - The following profiles are active: test
2018-05-18 16:20:33,904 [main] INFO  com.asiainfo.ServiceApplication 57 - Started ServiceApplication in 2.206 seconds (JVM running for 39.681)
2018-05-18 16:20:45,508 [main] INFO  com.asiainfo.ServiceApplication 57 - Started ServiceApplication in 48.47 seconds (JVM running for 51.285)
